field,project,parameter,headline,caveat,basis,source,confidence,url,doi,sentence,source_quote,pdf
Financial economics,activism,Stock-price reaction to shareholder activism,0% to 1.5%,,"1,973 estimates from 67 studies","Bajzik et al. 2025, Corporate Governance: An International Review",high,https://meta-analysis.cz/activism/,https://doi.org/10.1111/corg.12637,"Stock-price reaction to shareholder activism: corrected for publication bias, 0% to 1.5%, based on 1,973 estimates from 67 studies (Bajzik et al. 2025, Corporate Governance: An International Review).",Corrected activism effects range from 0% to 1.5%.,https://meta-analysis.cz/activism/activism2.pdf
Financial economics,trust,"Trust, rule of law, and the size premium in stock returns","stronger rule of law, larger size premium","association in reported estimates, not causal","1,613 estimates from 105 studies and 31 countries",Schwarz et al. 2026,high,https://meta-analysis.cz/trust/,,"Trust, rule of law, and the size premium in stock returns: the meta-analytic finding is stronger rule of law, larger size premium (association in reported estimates, not causal), based on 1,613 estimates from 105 studies and 31 countries (Schwarz et al. 2026).","The more stable association is with rule of law, and it runs against the intuitive expectation that better legal institutions shrink the premium: stronger rule of law is associated with more negative reported size slopes, hence larger conventional size premia.",https://meta-analysis.cz/trust/trust.pdf
Financial economics,alphas,Variation in hedge fund alphas,"9 of 34 study characteristics consistently explain it, above all whether alpha is measured gross or net of fees, a gap of 0.439 percentage points a month; expected alphas under best practice are close to zero for all common strategies",,"1,019 estimates from 74 studies",Yang et al. 2026,high,https://meta-analysis.cz/alphas/,,"Variation in hedge fund alphas: the main result is that 9 of 34 study characteristics consistently explain it, above all whether alpha is measured gross or net of fees, a gap of 0.439 percentage points a month; expected alphas under best practice are close to zero for all common strategies, based on 1,019 estimates from 74 studies (Yang et al. 2026).","We document that 9 out of the 34 characteristics we analyze are consistently relevant to explain the variation in the reported estimates. ... when considering the fees and the variation in research designs, the current estimates of expected alphas implied by the best practice methodology are close to zero for all common hedge fund strategies.",https://meta-analysis.cz/alphas/alphas.pdf
Meta-research methods,correlations,Bias in meta-analyses of correlations,conventional fixed- and random-effects estimators are biased; the UWLS+3 and Hunter-Schmidt estimators correct this,,,"Stanley et al. 2025, Research Synthesis Methods",high,https://meta-analysis.cz/correlations/,https://doi.org/10.1017/rsm.2024.5,"Bias in meta-analyses of correlations: the methodological finding is that conventional fixed- and random-effects estimators are biased; the UWLS+3 and Hunter-Schmidt estimators correct this (Stanley et al. 2025, Research Synthesis Methods).",Conventional meta-analyses (both fixed and random effects) of correlations are biased,https://meta-analysis.cz/correlations/correlations2.pdf
Meta-research methods,pcc,Bias in meta-analyses of partial correlations,all such meta-analyses are biased; the UWLS+3 weighted average corrects them,,,"Stanley et al. 2024, Research Synthesis Methods",high,https://meta-analysis.cz/pcc/,https://doi.org/10.1002/jrsm.1704,"Bias in meta-analyses of partial correlations: the methodological finding is that all such meta-analyses are biased; the UWLS+3 weighted average corrects them (Stanley et al. 2024, Research Synthesis Methods).",We demonstrate that all meta-analyses of partial correlations are biased,https://meta-analysis.cz/pcc/pcc2.pdf
Meta-research methods,guidelines,How to run a modern meta-analysis,"a concise, nontechnical, step-by-step guide for practitioners, treating publication bias, p-hacking and heterogeneity as problems every meta-analyst must confront",,,"Irsova et al. 2024, Journal of Economic Surveys",high,https://meta-analysis.cz/guidelines/,https://doi.org/10.1111/joes.12595,"How to run a modern meta-analysis: a concise, nontechnical, step-by-step guide for practitioners, treating publication bias, p-hacking and heterogeneity as problems every meta-analyst must confront (Irsova et al. 2024, Journal of Economic Surveys).","This paper provides concise, nontechnical, step-by-step guidelines on how to conduct a modern meta-analysis",https://meta-analysis.cz/guidelines/guidelines2.pdf
Meta-research methods,outliers,Sensitivity of meta-analysis results to outlier handling,median shift at most 0.047 (Cohen's d); significance flips in 11.5% of cases,across four pre-registered outlier treatments and two estimators,358 behavioral science meta-analyses,Havranek et al. 2026,high,https://meta-analysis.cz/outliers/,,"Sensitivity of meta-analysis results to outlier handling: the methodological finding is median shift at most 0.047 (Cohen's d); significance flips in 11.5% of cases (across four pre-registered outlier treatments and two estimators), based on 358 behavioral science meta-analyses (Havranek et al. 2026).","Alternative outlier handling treatments have little effect on the meta-analysis mean as the median absolute change in Cohen's d is at most 0.047 and often much less. Yet, at least one of these four treatments in combination with one of these estimators reverses the statistical significance of 11.5% of meta-analyses and the smallest-effect-of-interest assessment in 15.9%.",https://meta-analysis.cz/outliers/outliers.pdf
Meta-research methods,maive,Spurious precision in meta-analysis (the MAIVE estimator),"estimated precision can be p-hacked, which invalidates inverse-variance weighting; MAIVE instruments variance with sample size",,,"Irsova et al. 2025, Nature Communications",high,https://meta-analysis.cz/maive/,https://doi.org/10.1038/s41467-025-63261-0,"Spurious precision in meta-analysis (the MAIVE estimator): the methodological finding is estimated precision can be p-hacked, which invalidates inverse-variance weighting; MAIVE instruments variance with sample size (Irsova et al. 2025, Nature Communications).",spurious precision can invalidate inverse-variance weighting,https://meta-analysis.cz/maive/maive.pdf
Meta-research methods,debate,Whether multi-agent AI debate improves feedback on research papers,it does not; authors of 44 meta-analyses preferred a single frontier-model pass to two multi-agent debate tools,,"a pre-registered, identity-masked experiment",Havranek and Irsova 2026,high,https://meta-analysis.cz/debate/,https://arxiv.org/abs/2607.14713,"Whether multi-agent AI debate improves feedback on research papers: it does not; authors of 44 meta-analyses preferred a single frontier-model pass to two multi-agent debate tools, based on a pre-registered, identity-masked experiment (Havranek and Irsova 2026).",The authors preferred the single pass,https://meta-analysis.cz/debate/debate.pdf
Meta-research methods,pcc_survey,Whether the estimator choice matters for partial correlations in practice,"small-sample biases are negligible and Fisher's z helps with neither them nor publication selection bias; UWLS and Hunter-Schmidt give smaller, arguably less biased means than random effects",,"172 economics meta-analyses with 63,730 partial correlations from 6,191 papers",Stanley et al. 2026,high,https://meta-analysis.cz/pcc_survey/,,"Whether the estimator choice matters for partial correlations in practice: the methodological finding is that small-sample biases are negligible and Fisher's z helps with neither them nor publication selection bias; UWLS and Hunter-Schmidt give smaller, arguably less biased means than random effects, based on 172 economics meta-analyses with 63,730 partial correlations from 6,191 papers (Stanley et al. 2026).","We find that small-sample biases are negligible in practice. However, some publication selection biases remain. Although Fisher's z transformations have often been recommended, they reduce neither small-sample nor publication selection biases relative to conventional random effects. Both the unrestricted weighted least squares (UWLS) and the Hunter-Schmidt (HS) estimators produce smaller, arguably less biased, estimates of the mean PCC in these applications than either random effects or Fisher's z transformations.",https://meta-analysis.cz/pcc_survey/pcc_survey.pdf
